Trait Domain,Category ID,Category Name,Field ID,Field Name,Column Codes,Type,Notes,Covariates adjusted,N,Prevalence,h2,SE,,Female N,Prev in Female,Female h2,Female SE,Male N,Prev in Male,Male h2,Male SE,,SES Quantile 0-12/36,SES Quantile 1/36-13/36,SES Quantile 2/36-14/36,SES Quantile 3/36-15/36,SES Quantile 4/36-16/36,SES Quantile 5/36-17/36,SES Quantile 6/36-18/36,SES Quantile 7/36-19/36,SES Quantile 8/36-20/36,SES Quantile 9/36-21/36,SES Quantile 10/36-22/36,SES Quantile 11/36-23/36,SES Quantile 12/36-24/36,SES Quantile 13/36-25/36,SES Quantile 14/36-26/36,SES Quantile 15/36-27/36,SES Quantile 16/36-28/36,SES Quantile 17/36-29/36,SES Quantile 18/36-30/36,SES Quantile 19/36-31/36,SES Quantile 20/36-32/36,SES Quantile 21/36-33/36,SES Quantile 22/36-34/36,SES Quantile 23/36-35/36,SES Quantile 24/36-1
Cognitive Function,100031,Prospective memory test,20018,Prospective memory result,20018-0.0,categorical,correct recall on first attempt or not,"assessment center, age, sex, top 10 PCs, genotyping array",35214,79.75%,0.1101,0.0228,,18426,79.57%,0.1991,0.0434,16788,79.94%,0.1385,0.0481,,0.0960,0.0620,0.1129,0.0922,0.1308,0.1147,0.0854,0.0644,0.0071,0.0430,0.0980,0.0539,0.0716,0.1102,0.1552,0.1483,0.0756,0.1442,0.1455,0.1123,0.1307,0.1512,0.0944,0.1211,0.1522
Cognitive Function,100032,Reaction time test,20023,Mean time to correctly identify matches,20023-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",107255,NA,0.0732,0.0038,,56697,NA,0.0689,0.0070,50558,NA,0.0911,0.0079,,0.0615,0.0640,0.0654,0.0663,0.0680,0.0778,0.0773,0.0731,0.0644,0.0715,0.0806,0.0813,0.0687,0.0640,0.0712,0.0657,0.0650,0.0669,0.0688,0.0644,0.0662,0.0714,0.0691,0.0832,0.0935
Early Life Factors,100033,Early life factors,1677,Breastfed as a baby,1677-0.0,binary,,"assessment center, age, sex, top 10 PCs, genotyping array",81848,71.03%,0.0586,0.0086,,46010,68.60%,0.1006,0.0147,35838,74.14%,0.0317,0.0203,,0.0370,0.0175,0.0545,0.0643,0.0691,0.0706,0.0706,0.0710,0.0605,0.0740,0.0704,0.0475,0.0534,0.0688,0.0467,0.0520,0.0721,0.0655,0.0826,0.0515,0.0458,0.0614,0.0625,0.0485,0.0290
Early Life Factors,100033,Early life factors,1687,Comparative body size at age 10,1687-0.0,categorical,thinner than average,"assessment center, age, sex, top 10 PCs, genotyping array",106401,32.51%,0.2302,0.0064,,56379,30.59%,0.2763,0.0122,50022,34.68%,0.1813,0.0132,,0.2175,0.2504,0.2449,0.2195,0.2241,0.2260,0.2081,0.1964,0.2202,0.2356,0.2625,0.2627,0.2356,0.2442,0.2478,0.2490,0.2370,0.2443,0.2735,0.2676,0.2479,0.2201,0.1775,0.1848,0.1741
Early Life Factors,100033,Early life factors,1687,Comparative body size at age 10,1687-0.0,categorical,plumper than average,"assessment center, age, sex, top 10 PCs, genotyping array",106401,16.35%,0.2894,0.0085,,56379,18.44%,0.2980,0.0149,50022,14.01%,0.2535,0.0193,,0.2547,0.2784,0.3051,0.2964,0.3200,0.3130,0.3688,0.3693,0.3478,0.3559,0.3440,0.3171,0.3016,0.3016,0.3366,0.3293,0.2777,0.2833,0.2364,0.2438,0.2313,0.2047,0.2211,0.2207,0.2022
Early Life Factors,100033,Early life factors,1697,Comparative height at age 10,1697-0.0,categorical,shorter than average,"assessment center, age, sex, top 10 PCs, genotyping array",106497,20.49%,0.4045,0.0077,,56191,21.23%,0.4388,0.0141,50306,19.65%,0.3353,0.0163,,0.3938,0.3748,0.3499,0.3413,0.3437,0.3518,0.3444,0.3293,0.3576,0.3573,0.3442,0.3603,0.3818,0.3728,0.3890,0.3966,0.3808,0.4021,0.4155,0.4189,0.4021,0.4105,0.4020,0.3914,0.3746
Early Life Factors,100033,Early life factors,1697,Comparative height at age 10,1697-0.0,categorical,taller than average,"assessment center, age, sex, top 10 PCs, genotyping array",106497,25.36%,0.4394,0.0070,,56191,25.48%,0.4465,0.0130,50306,25.23%,0.4230,0.0146,,0.4673,0.4532,0.4383,0.4257,0.4587,0.4551,0.4341,0.4169,0.3965,0.3771,0.3944,0.3886,0.3877,0.3844,0.4069,0.4102,0.3794,0.3981,0.4010,0.4114,0.4112,0.3904,0.3843,0.3849,0.3961
Early Life Factors,100033,Early life factors,1707,Handedness (chirality/laterality),1707-0.0,categorical,right handedness or not,"assessment center, age, sex, top 10 PCs, genotyping array",108143,88.93%,0.0322,0.0103,,57147,90.26%,0.0435,0.0206,50996,87.44%,0.0039,0.0201,,0.0421,0.0352,0.0376,0.0379,0.0316,0.0480,0.0000,0.0070,0.0343,0.0507,0.0765,0.1175,0.0791,0.0767,0.0550,0.0552,0.0285,0.0246,0.0238,0.0350,0.0130,0.0256,0.0381,0.0178,0.0185
Health and Medical History,100037,Breathing,2316,Wheeze or whistling in the chest in last year,2316-0.0,binary,,"assessment center, age, sex, top 10 PCs, genotyping array",106177,22.73%,0.1466,0.0074,,56208,21.57%,0.1301,0.0139,49969,24.03%,0.1417,0.0150,,0.1462,0.1510,0.1570,0.1306,0.1336,0.1355,0.1335,0.1547,0.1497,0.1330,0.1326,0.1057,0.1226,0.1149,0.1066,0.1246,0.1053,0.1048,0.0906,0.0851,0.0753,0.0853,0.1182,0.1172,0.1524
Health and Medical History,100037,Breathing,4717,Shortness of breath walking on level ground,4717-0.0,binary,,"assessment center, age, sex, top 10 PCs, genotyping array",34714,11.63%,0.1310,0.0306,,18131,13.25%,0.2025,0.0546,16583,9.86%,0.1306,0.0704,,0.1820,0.0610,0.0677,0.0417,0.0410,0.0000,0.0038,0.0539,0.1266,0.1766,0.1832,0.0785,0.0721,0.0507,0.0657,0.0744,0.0632,0.0902,0.1517,0.1361,0.1434,0.0541,0.0868,0.0947,0.2023
Health and Medical History,100038,Claudication and peripheral artery disease,4728,Leg pain on walking,4728-0.0,binary,,"assessment center, age, sex, top 10 PCs, genotyping array",35019,22.69%,0.1260,0.0219,,18303,23.13%,0.1128,0.0414,16716,22.22%,0.1583,0.0462,,0.0337,0.0547,0.0945,0.0392,0.0861,0.0901,0.1247,0.1101,0.1276,0.1132,0.1211,0.0946,0.0707,0.0770,0.0580,0.0456,0.0296,0.0344,0.0134,0.0564,0.0807,0.0557,0.0570,0.0980,0.1032
Health and Medical History,100038,Claudication and peripheral artery disease,5452,Leg pain when standing still or sitting,5452-0.0,binary,"condition on Field 4728, use controls in Field 4728","assessment center, age, sex, top 10 PCs, genotyping array",34762,14.14%,0.1124,0.0276,,18150,14.75%,0.0963,0.0516,16612,13.47%,0.1920,0.0591,,0.0000,0.0542,0.0594,0.0661,0.0939,0.0676,0.0788,0.0336,0.0979,0.0909,0.0483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0203,0.0000,0.0000,0.0140,0.0057,0.0275,0.0750,0.0644
Health and Medical History,100038,Claudication and peripheral artery disease,5463,Leg pain in calf/calves,5463-0.0,binary,"condition on Field 4728, use controls in Field 4728","assessment center, age, sex, top 10 PCs, genotyping array",34909,7.46%,0.1592,0.0394,,18236,7.17%,0.0837,0.0772,16673,7.77%,0.2550,0.0805,,0.0762,0.0692,0.0000,0.0000,0.0000,0.0000,0.0000,0.0878,0.0507,0.1661,0.0975,0.0560,0.0478,0.0522,0.0011,0.0927,0.1051,0.1086,0.0666,0.0738,0.1336,0.1538,0.2029,0.1005,0.2252
Health and Medical History,100038,Claudication and peripheral artery disease,5474,Leg pain when walking uphill or hurrying,5474-0.0,binary,"condition on Field 4728, use controls in Field 4728","assessment center, age, sex, top 10 PCs, genotyping array",34707,15.50%,0.1225,0.0263,,18116,16.33%,0.0957,0.0491,16591,14.60%,0.1652,0.0568,,0.1774,0.1068,0.1610,0.1474,0.1515,0.1118,0.1139,0.0981,0.0790,0.0708,0.0824,0.0713,0.0862,0.0949,0.0603,0.0702,0.1152,0.1147,0.0841,0.1098,0.1022,0.0463,0.0640,0.0785,0.0963
Health and Medical History,100038,Claudication and peripheral artery disease,5485,Leg pain when walking normally,5485-0.0,binary,"condition on Field 4728, use controls in Field 4728","assessment center, age, sex, top 10 PCs, genotyping array",34822,13.02%,0.1177,0.0287,,18182,13.41%,0.0942,0.0541,16640,12.60%,0.1635,0.0612,,0.1168,0.0593,0.0904,0.0816,0.1118,0.1703,0.1521,0.1147,0.0512,0.0846,0.1254,0.1230,0.1288,0.1475,0.1113,0.0463,0.0766,0.0877,0.0398,0.0935,0.1166,0.0571,0.0858,0.0716,0.0467
Health and Medical History,100038,Claudication and peripheral artery disease,5518,Leg pain on walking : effect of standing still,5518-0.0,binary,condition on Field 4728,"assessment center, age, sex, top 10 PCs, genotyping array",6921,39.85%,0.0000,0.0919,,3622,42.77%,0.0000,0.1747,3299,36.65%,0.0419,0.1962,,0.4032,0.5386,0.6080,0.4147,0.4702,0.2142,0.3464,0.3421,0.1171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Health and Medical History,100039,Chest pain,2335,Chest pain or discomfort,2335-0.0,binary,,"assessment center, age, sex, top 10 PCs, genotyping array",107115,16.22%,0.0770,0.0085,,56603,14.80%,0.1094,0.0166,50512,17.81%,0.0585,0.0170,,0.0326,0.0336,0.0566,0.0613,0.0617,0.0667,0.0918,0.0713,0.0807,0.0860,0.0834,0.0785,0.0735,0.0855,0.0905,0.0803,0.0538,0.0716,0.0581,0.0388,0.0555,0.0723,0.0721,0.0817,0.0938
Health and Medical History,100039,Chest pain,3606,Chest pain or discomfort walking normally,3606-0.0,binary,"condition on Field 2335, use controls in Field 2335, excluding unable to walk","assessment center, age, sex, top 10 PCs, genotyping array",106973,2.88%,0.1322,0.0245,,56528,2.60%,0.1237,0.0487,50445,3.20%,0.1254,0.0474,,0.0000,0.0000,0.0000,0.0000,0.0220,0.0793,0.0304,0.0000,0.0134,0.0000,0.0000,0.0009,0.1086,0.1642,0.1461,0.1203,0.1452,0.2003,0.2016,0.1595,0.0946,0.0754,0.0305,0.0874,0.1342
Health and Medical History,100039,Chest pain,3751,Chest pain or discomfort when walking uphill or hurrying,3751-0.0,binary,"condition on Field 2335 and Field 3606, use cases in Field 2306 and controls in Field 2335","assessment center, age, sex, top 10 PCs, genotyping array",106543,6.52%,0.1193,0.0143,,56264,6.51%,0.1454,0.0267,50279,6.55%,0.0859,0.0298,,0.0371,0.0408,0.0359,0.0000,0.0335,0.0131,0.0416,0.0161,0.0485,0.0082,0.0247,0.0267,0.0479,0.0865,0.0909,0.1100,0.0985,0.1148,0.1304,0.1436,0.1544,0.1637,0.1594,0.1650,0.1843
Health and Medical History,100041,Eyesight,2207 & 6147,Wears glasses or contact lenses & Reason for glasses/contact lenses,2207-0.0 & 6147-0.0~6147-0.5,categorical,for short-sightedness (myopia),"assessment center, age, sex, top 10 PCs, genotyping array",32430,25.38%,0.2365,0.0226,,16295,26.71%,0.3058,0.0439,16135,24.05%,0.1357,0.0464,,0.1810,0.1278,0.1680,0.1794,0.1907,0.1929,0.2053,0.2407,0.2811,0.2793,0.2998,0.2624,0.2653,0.2964,0.3891,0.4078,0.4734,0.3984,0.3192,0.2990,0.2879,0.2611,0.2694,0.2543,0.1993
Health and Medical History,100041,Eyesight,2208 & 6147,Wears glasses or contact lenses & Reason for glasses/contact lenses,2207-0.0 & 6147-0.0~6147-0.5,categorical,for long-sightedness (hypermetropia),"assessment center, age, sex, top 10 PCs, genotyping array",32430,13.78%,0.1200,0.0299,,16295,15.57%,0.1729,0.0558,16135,11.98%,0.0505,0.0650,,0.0000,0.0320,0.0413,0.1572,0.1745,0.1655,0.2021,0.1956,0.2109,0.1121,0.0696,0.1663,0.2098,0.1729,0.2231,0.2074,0.1412,0.1188,0.1130,0.1192,0.1265,0.1468,0.1532,0.1172,0.0948
Health and Medical History,100041,Eyesight,2209 & 6147,Wears glasses or contact lenses & Reason for glasses/contact lenses,2207-0.0 & 6147-0.0~6147-0.5,categorical,for reading/near work (presbyopia),"assessment center, age, sex, top 10 PCs, genotyping array",32430,28.25%,0.0580,0.0217,,16295,29.24%,0.0956,0.0425,16135,27.25%,0.0785,0.0442,,0.1199,0.1450,0.1127,0.1219,0.0615,0.0719,0.0068,0.0250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0946,0.1026,0.0770,0.1185,0.1718,0.1655,0.1691,0.1103,0.0399,0.0464,0.0316
Health and Medical History,100041,Eyesight,2210 & 6147,Wears glasses or contact lenses & Reason for glasses/contact lenses,2207-0.0 & 6147-0.0~6147-0.5,categorical,for astigmatism,"assessment center, age, sex, top 10 PCs, genotyping array",32430,8.41%,0.1720,0.0395,,16295,10.14%,0.1667,0.0703,16135,6.66%,0.1870,0.0916,,0.0842,0.0225,0.0043,0.0671,0.2223,0.2949,0.2597,0.2839,0.3080,0.1239,0.0082,0.0777,0.1194,0.0963,0.2201,0.2345,0.1980,0.2659,0.2416,0.3264,0.2661,0.3225,0.2241,0.2014,0.2381
Health and Medical History,100041,Eyesight,2211 & 6147,Wears glasses or contact lenses & Reason for glasses/contact lenses,2207-0.0 & 6147-0.0~6147-0.5,categorical,for a lazy eye (amblyopia),"assessment center, age, sex, top 10 PCs, genotyping array",32430,2.63%,0.0670,0.0842,,16295,2.74%,0.1352,0.1622,16135,2.52%,0.1671,0.1748,,0.3735,0.5173,0.3181,0.4350,0.3634,0.4354,0.0449,0.0373,0.2919,0.0000,0.0000,0.0907,0.0000,0.0000,0.1205,0.2125,0.3655,0.2220,0.2060,0.0000,0.0222,0.0000,0.0000,0.0000,0.1168
Health and Medical History,100041,Eyesight,6148,Eye problems/disorders,6148-0.0~6148-0.4,categorical,had diabetes related eye disease or not,"assessment center, age, sex, top 10 PCs, genotyping array",33750,2.04%,0.7219,0.0967,,17830,1.32%,0.4557,0.2511,15920,2.85%,0.7709,0.1621,,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.4920,0.7624,0.8357,1.0000,0.9417,0.6784,0.2996,0.3917,0.3787,0.4157,0.5471,0.4419,0.5085,0.4715,0.3499,0.4812,0.5220,0.5087
Health and Medical History,100041,Eyesight,6148,Eye problems/disorders,6148-0.0~6148-0.4,categorical,had glaucoma or not,"assessment center, age, sex, top 10 PCs, genotyping array",33750,4.50%,0.2577,0.0561,,17830,3.94%,0.4451,0.1158,15920,5.13%,0.1740,0.1095,,0.2137,0.1459,0.2509,0.2618,0.3165,0.2099,0.4261,0.3488,0.3817,0.1701,0.2450,0.1673,0.2883,0.2218,0.1883,0.1201,0.2805,0.2334,0.1965,0.1431,0.2398,0.0652,0.0616,0.2067,0.1628
Health and Medical History,100041,Eyesight,6148,Eye problems/disorders,6148-0.0~6148-0.4,categorical,had cataract or not,"assessment center, age, sex, top 10 PCs, genotyping array",33750,9.53%,0.0731,0.0353,,17830,10.61%,0.0455,0.0626,15920,8.32%,0.1414,0.0810,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0978,0.1020,0.1092,0.0666,0.1036,0.1692,0.2017,0.1917,0.1309,0.0413,0.1268,0.1920,0.1231,0.1417,0.2884,0.3206,0.2989,0.2641,0.0902,0.1447
Health and Medical History,100041,Eyesight,6148,Eye problems/disorders,6148-0.0~6148-0.4,categorical,had macular degeneration or not,"assessment center, age, sex, top 10 PCs, genotyping array",33750,2.31%,0.1458,0.0886,,17830,2.56%,0.1137,0.1553,15920,2.02%,0.0000,0.2066,,0.0875,0.0259,0.0414,0.3765,0.5329,0.7012,0.6353,0.7777,0.5350,0.3064,0.4856,0.4923,0.6034,0.5747,0.6260,0.3576,0.4802,0.4288,0.3838,0.4232,0.5219,0.3334,0.2774,0.3422,0.1605
Health and Medical History,100042,General health,2178,Overall health rating,2178-0.0,categorical,excellent/good vs fair/poor,"assessment center, age, sex, top 10 PCs, genotyping array",107760,74.06%,0.1688,0.0069,,56954,76.36%,0.1716,0.0132,50806,71.48%,0.1444,0.0138,,0.1378,0.1458,0.1529,0.1416,0.1424,0.1399,0.1449,0.1217,0.1364,0.1351,0.1358,0.1508,0.1451,0.1394,0.1379,0.1332,0.1478,0.1537,0.1497,0.1565,0.1739,0.1517,0.1701,0.1525,0.1643
Health and Medical History,100042,General health,2188,"Long-standing illness, disability or infirmity",2188-0.0,binary,,"assessment center, age, sex, top 10 PCs, genotyping array",105733,33.62%,0.1053,0.0064,,55758,30.99%,0.1057,0.0122,49975,36.56%,0.1251,0.0130,,0.0969,0.1085,0.0819,0.0862,0.0753,0.0763,0.0753,0.0831,0.0690,0.0826,0.0849,0.0821,0.0805,0.0803,0.0675,0.0644,0.0683,0.0653,0.0693,0.0717,0.0801,0.0928,0.1038,0.0886,0.1007
Health and Medical History,100042,General health,2296,Falls in the last year,2296-0.0,categorical,any fall or not,"assessment center, age, sex, top 10 PCs, genotyping array",107986,19.87%,0.0552,0.0077,,57068,23.43%,0.0450,0.0133,50918,15.88%,0.0485,0.0178,,0.0423,0.0392,0.0538,0.0588,0.0480,0.0465,0.0510,0.0532,0.0815,0.0537,0.0219,0.0126,0.0002,0.0235,0.0490,0.0620,0.0633,0.0651,0.0819,0.0936,0.0646,0.0600,0.0517,0.0546,0.0583
Health and Medical History,100043,Hearing,2247,Hearing difficulty/problems,2247-0.0,binary,,"assessment center, age, sex, top 10 PCs, genotyping array, noisy workplace, loud music exposure",32852,28.64%,0.0966,0.0213,,17076,23.58%,0.1897,0.0441,15776,34.11%,0.0544,0.0419,,0.1805,0.1497,0.1360,0.1145,0.0931,0.0657,0.0860,0.0697,0.0914,0.0521,0.0683,0.1254,0.1387,0.0794,0.1034,0.0751,0.0790,0.0512,0.0247,0.0780,0.1065,0.1404,0.0796,0.0783,0.0768
Health and Medical History,100043,Hearing,2257,Hearing difficulty/problems with background noise,2257-0.0,binary,,"assessment center, age, sex, top 10 PCs, genotyping array, noisy workplace, loud music exposure",33869,37.60%,0.0830,0.0191,,17724,32.14%,0.0704,0.0380,16145,43.59%,0.1127,0.0389,,0.2893,0.2716,0.2063,0.1708,0.1309,0.1793,0.1737,0.0605,0.0867,0.0553,0.0794,0.1090,0.1181,0.0240,0.0000,0.0000,0.0088,0.0429,0.0256,0.0149,0.0315,0.0015,0.0000,0.0000,0.0000
Health and Medical History,100043,Hearing,4803,Tinnitus,4803-0.0,categorical,never or not,"assessment center, age, sex, top 10 PCs, genotyping array, noisy workplace, loud music exposure",34038,28.89%,0.1251,0.0205,,17854,25.85%,0.2119,0.0406,16184,32.24%,0.0510,0.0416,,0.0481,0.0613,0.0434,0.0606,0.0930,0.0978,0.1397,0.1981,0.2021,0.1049,0.1230,0.0925,0.0950,0.1298,0.1410,0.0835,0.0671,0.0828,0.0534,0.0962,0.1198,0.1570,0.1943,0.1996,0.2153
Health and Medical History,100044,Medical conditions,2443,Diabetes diagnosed by doctor,2443-0.0,binary,,"assessment center, age, sex, top 10 PCs, genotyping array",107935,5.25%,0.4139,0.0163,,57054,3.69%,0.3863,0.0380,50881,7.01%,0.4407,0.0282,,0.3939,0.4094,0.4248,0.4373,0.4504,0.3550,0.3711,0.3803,0.3731,0.3773,0.4700,0.4866,0.5089,0.4263,0.4552,0.4846,0.4695,0.4842,0.4466,0.4519,0.4354,0.4488,0.4213,0.4008,0.3371
Health and Medical History,100044,Medical conditions,2453,Cancer diagnosed by doctor,2453-0.0,binary,,"assessment center, age, sex, top 10 PCs, genotyping array",107847,7.93%,0.0446,0.0126,,56928,9.29%,0.0618,0.0213,50919,6.42%,0.0244,0.0297,,0.0401,0.0562,0.0377,0.0268,0.0157,0.0406,0.0183,0.0000,0.0179,0.0000,0.0000,0.0000,0.0008,0.0000,0.0000,0.0000,0.0048,0.0044,0.0213,0.0378,0.0406,0.0533,0.1255,0.0783,0.0632
Health and Medical History,100044,Medical conditions,2966,Age high blood pressure diagnosed,2966-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",26806,NA,0.0537,0.0148,,12003,NA,0.0984,0.0330,14803,NA,0.0202,0.0268,,0.0535,0.0345,0.0224,0.0117,0.0136,0.0184,0.0335,0.0748,0.0225,0.0483,0.0736,0.0675,0.0412,0.0646,0.0460,0.0791,0.0785,0.0398,0.0473,0.0757,0.0772,0.0809,0.0579,0.0865,0.0336
Health and Medical History,100044,Medical conditions,2976,Age diabetes diagnosed,2976-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",5369,NA,1.0000,0.0736,,1864,NA,1.0000,0.2144,3505,NA,0.8379,0.1131,,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8503,0.6991,0.9422,0.9058,1.0000,0.9138,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7928,0.7833,0.7797,0.7888,0.8292
Health and Medical History,100044,Medical conditions,3761,"Age hay fever, rhinitis or eczema diagnosed",3761-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",21074,NA,0.1740,0.0188,,11663,NA,0.1471,0.0339,9411,NA,0.1425,0.0422,,0.1485,0.1584,0.1548,0.1391,0.1378,0.1717,0.1728,0.1731,0.1204,0.1226,0.1232,0.1402,0.1388,0.1779,0.1541,0.1803,0.1906,0.2168,0.2213,0.2193,0.1871,0.2321,0.2332,0.2472,0.2640
Health and Medical History,100044,Medical conditions,3786,Age asthma diagnosed,3786-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",11898,NA,0.2667,0.0332,,6586,NA,0.2434,0.0600,5312,NA,0.2507,0.0749,,0.2758,0.2309,0.2165,0.2552,0.2897,0.2380,0.1584,0.1610,0.1869,0.0402,0.0760,0.2724,0.3450,0.3557,0.4724,0.4924,0.4321,0.4131,0.4409,0.4312,0.3512,0.3362,0.3529,0.2370,0.2779
Health and Medical History,100044,Medical conditions,6150,Vascular/heart problems diagnosed by doctor,6150-0.0~6150-0.3,categorical,had heart attack or not,"assessment center, age, sex, top 10 PCs, genotyping array",107998,2.53%,0.1755,0.0266,,57060,0.93%,0.0000,0.1023,50938,4.33%,0.1730,0.0383,,0.2010,0.1772,0.1522,0.1877,0.1844,0.2420,0.2858,0.2936,0.3468,0.2442,0.1750,0.1568,0.0362,0.0180,0.0612,0.0579,0.0763,0.0403,0.0851,0.0989,0.0946,0.1575,0.1875,0.2673,0.2961
Health and Medical History,100044,Medical conditions,6150,Vascular/heart problems diagnosed by doctor,6150-0.0~6150-0.3,categorical,had angina or not,"assessment center, age, sex, top 10 PCs, genotyping array",107998,3.39%,0.1715,0.0217,,57060,2.03%,0.1726,0.0576,50938,4.91%,0.1682,0.0353,,0.1271,0.1237,0.1126,0.1422,0.1661,0.1742,0.1751,0.1849,0.1648,0.1611,0.2082,0.1811,0.2053,0.1710,0.2216,0.2081,0.2332,0.2325,0.3485,0.2970,0.2977,0.2328,0.1787,0.1939,0.1705
Health and Medical History,100044,Medical conditions,6150,Vascular/heart problems diagnosed by doctor,6150-0.0~6150-0.3,categorical,had stroke or not,"assessment center, age, sex, top 10 PCs, genotyping array",107998,1.63%,0.0985,0.0364,,57060,1.24%,0.0000,0.0828,50938,2.07%,0.1780,0.0636,,0.1021,0.1247,0.0000,0.0000,0.0000,0.0000,0.0655,0.0237,0.0719,0.0731,0.0000,0.0256,0.0000,0.0000,0.0553,0.1161,0.1448,0.0123,0.0700,0.0445,0.0000,0.0085,0.0000,0.0150,0.0447
Health and Medical History,100044,Medical conditions,6150,Vascular/heart problems diagnosed by doctor,6150-0.0~6150-0.3,categorical,had high blood pressure or not,"assessment center, age, sex, top 10 PCs, genotyping array",107998,27.65%,0.2608,0.0067,,57060,24.38%,0.2942,0.0131,50938,31.31%,0.2193,0.0134,,0.2450,0.2440,0.2519,0.2417,0.2474,0.2490,0.2504,0.2675,0.3011,0.2993,0.2812,0.2708,0.2455,0.2333,0.2200,0.2154,0.2294,0.2236,0.2184,0.2159,0.2053,0.2146,0.2150,0.2220,0.2076
Health and Medical History,100044,Medical conditions,6152,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",6152-0.0~6152-0.4,categorical,had DVT or not,"assessment center, age, sex, top 10 PCs, genotyping array",108022,2.02%,0.1083,0.0311,,57085,2.21%,0.1176,0.0541,50937,1.81%,0.1803,0.0700,,0.2448,0.2869,0.1871,0.2069,0.2037,0.1972,0.2282,0.1895,0.1786,0.1330,0.2222,0.1954,0.1919,0.1941,0.1597,0.1352,0.0862,0.1023,0.1269,0.0600,0.0000,0.0000,0.0000,0.0091,0.0000
Health and Medical History,100044,Medical conditions,6152,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",6152-0.0~6152-0.4,categorical,had emphysema/chronic bronchitis or not,"assessment center, age, sex, top 10 PCs, genotyping array",108022,2.07%,0.1018,0.0306,,57085,1.95%,0.0861,0.0592,50937,2.20%,0.0783,0.0609,,0.0423,0.0597,0.0561,0.1181,0.0365,0.0143,0.0000,0.0000,0.0000,0.0606,0.0527,0.1037,0.1482,0.0978,0.1522,0.1803,0.1068,0.0405,0.0651,0.0317,0.1156,0.1035,0.0000,0.0698,0.0912
Health and Medical History,100044,Medical conditions,6152,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",6152-0.0~6152-0.4,categorical,had asthma or not,"assessment center, age, sex, top 10 PCs, genotyping array",108022,12.37%,0.3437,0.0097,,57085,13.22%,0.3023,0.0174,50937,11.42%,0.3480,0.0212,,0.3309,0.3654,0.3550,0.3723,0.3722,0.3466,0.3364,0.3462,0.3340,0.3224,0.3340,0.3081,0.3211,0.3136,0.3067,0.3230,0.3349,0.3348,0.3210,0.3478,0.3689,0.3551,0.3671,0.3345,0.3448
Health and Medical History,100044,Medical conditions,6152,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",6152-0.0~6152-0.4,categorical,"had hayfever, allergic rhinitis, eczema or not","assessment center, age, sex, top 10 PCs, genotyping array",108022,22.56%,0.2253,0.0073,,57085,24.49%,0.1914,0.0130,50937,20.39%,0.2674,0.0158,,0.2347,0.2287,0.2581,0.2458,0.2397,0.2664,0.2627,0.2646,0.2683,0.2201,0.2088,0.2075,0.2104,0.1962,0.1855,0.1937,0.2074,0.1828,0.1911,0.2184,0.1872,0.1922,0.1833,0.1832,0.1863
Health and Medical History,100046,Mouth,6149,Mouth/teeth dental problems,6149-0.0~6149-0.5,categorical,had mouth ulcers or not,"assessment center, age, sex, top 10 PCs, genotyping array",107848,9.97%,0.1582,0.0110,,56988,10.95%,0.1447,0.0193,50860,8.87%,0.1928,0.0245,,0.1526,0.1518,0.1663,0.1813,0.1933,0.1828,0.1616,0.1611,0.1868,0.1425,0.1275,0.1523,0.1699,0.1483,0.1643,0.1683,0.1184,0.1209,0.1176,0.1276,0.1625,0.1586,0.1964,0.1998,0.1674
Health and Medical History,100046,Mouth,6149,Mouth/teeth dental problems,6149-0.0~6149-0.5,categorical,had painful gums or not,"assessment center, age, sex, top 10 PCs, genotyping array",107848,2.76%,0.0199,0.0250,,56988,3.30%,0.0587,0.0411,50860,2.17%,0.0182,0.0617,,0.0717,0.0933,0.0771,0.0195,0.0762,0.1396,0.0568,0.0429,0.0589,0.0358,0.0169,0.0021,0.0020,0.0181,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0281
